year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,dep_hour
2024,9,19,4,9/19/2024,G4,1510,DSM,"Des Moines, IA",Iowa,AUS,"Austin, TX",Texas,1501,1548,47,12,1600,1736,7,1707,1743,36,0,NULL,0,126,115,96,813,0,0,0,0,36,15
2024,3,28,4,3/28/2024,AA,2050,MIA,"Miami, FL",Florida,LGA,"New York, NY",New York,2039,2115,36,48,2203,20,5,2337,25,48,0,NULL,0,178,190,137,1096,19,0,12,0,17,21
2024,6,14,5,6/14/2024,AA,1911,RIC,"Richmond, VA",Virginia,CLT,"Charlotte, NC",North Carolina,635,639,4,27,706,758,7,759,805,6,0,NULL,0,84,86,52,257,0,0,0,0,0,6
2024,10,26,6,10/26/2024,WN,1102,TPA,"Tampa, FL",Florida,BNA,"Nashville, TN",Tennessee,1925,1911,0,6,1917,1944,4,2015,1948,-27,0,NULL,0,110,97,87,612,0,0,0,0,0,19
2024,8,21,3,8/21/2024,AA,2832,LAX,"Los Angeles, CA",California,PHL,"Philadelphia, PA",Pennsylvania,905,903,0,13,916,1656,11,1725,1707,-18,0,NULL,0,320,304,280,2402,0,0,0,0,0,9
2024,3,23,6,3/23/2024,UA,2432,FSD,"Sioux Falls, SD",South Dakota,DEN,"Denver, CO",Colorado,905,859,0,10,909,924,23,1002,947,-15,0,NULL,0,117,108,75,483,0,0,0,0,0,8
2024,7,21,7,7/21/2024,UA,1926,IAD,"Washington, DC",Virginia,DEN,"Denver, CO",Colorado,1610,1612,2,12,1624,1736,14,1814,1750,-24,0,NULL,0,244,218,192,1452,0,0,0,0,0,16
2024,12,18,3,12/18/2024,UA,1101,DEN,"Denver, CO",Colorado,IAD,"Washington, DC",Virginia,800,754,0,18,812,1258,4,1319,1302,-17,0,NULL,0,199,188,166,1452,0,0,0,0,0,7
2024,10,11,5,10/11/2024,DL,3146,ATL,"Atlanta, GA",Georgia,MSY,"New Orleans, LA",Louisiana,1540,1537,0,10,1547,1554,6,1612,1600,-12,0,NULL,0,92,83,67,425,0,0,0,0,0,15
2024,4,12,5,4/12/2024,WN,1124,SRQ,"Sarasota/Bradenton, FL",Florida,BWI,"Baltimore, MD",Maryland,1810,1806,0,10,1816,2014,11,2035,2025,-10,0,NULL,0,145,139,118,880,0,0,0,0,0,18
2024,7,24,3,7/24/2024,OO,4055,DTW,"Detroit, MI",Michigan,OMA,"Omaha, NE",Nebraska,832,827,0,14,841,926,3,935,929,-6,0,NULL,0,123,122,105,651,0,0,0,0,0,8
2024,9,8,7,9/8/2024,F9,2920,TPA,"Tampa, FL",Florida,CLE,"Cleveland, OH",Ohio,1805,1817,12,31,1848,2054,11,2041,2105,24,0,NULL,0,156,168,126,927,12,0,12,0,0,18
2024,11,25,1,11/25/2024,UA,469,IAH,"Houston, TX",Texas,ORD,"Chicago, IL",Illinois,720,715,0,21,736,937,9,1002,946,-16,0,NULL,0,162,151,121,925,0,0,0,0,0,7
2024,10,6,7,10/6/2024,DL,461,DFW,"Dallas/Fort Worth, TX",Texas,LGA,"New York, NY",New York,600,556,0,14,610,1002,5,1032,1007,-25,0,NULL,0,212,191,172,1389,0,0,0,0,0,5
2024,10,7,1,10/7/2024,OO,5581,ORD,"Chicago, IL",Illinois,FWA,"Fort Wayne, IN",Indiana,1405,1358,0,39,1437,1608,4,1613,1612,-1,0,NULL,0,68,74,31,157,0,0,0,0,0,13
2024,2,8,4,2/8/2024,AA,1576,PVD,"Providence, RI",Rhode Island,CLT,"Charlotte, NC",North Carolina,1004,957,0,9,1006,1148,7,1226,1155,-31,0,NULL,0,142,118,102,683,0,0,0,0,0,9
2024,9,21,6,9/21/2024,OO,4108,LAX,"Los Angeles, CA",California,ABQ,"Albuquerque, NM",New Mexico,829,918,49,23,941,1205,8,1130,1213,43,0,NULL,0,121,115,84,677,43,0,0,0,0,9
2024,6,30,7,6/30/2024,DL,2107,MSP,"Minneapolis, MN",Minnesota,SNA,"Santa Ana, CA",California,1815,1811,0,14,1825,1956,5,2014,2001,-13,0,NULL,0,239,230,211,1522,0,0,0,0,0,18
2024,7,28,7,7/28/2024,WN,2532,MCO,"Orlando, FL",Florida,DEN,"Denver, CO",Colorado,1600,1815,135,17,1832,1948,7,1810,1955,105,0,NULL,0,250,220,196,1546,0,105,0,0,0,18
2024,11,20,3,11/20/2024,WN,1565,HRL,"Harlingen/San Benito, TX",Texas,DAL,"Dallas, TX",Texas,1200,1200,0,8,1208,1320,4,1335,1324,-11,0,NULL,0,95,84,72,458,0,0,0,0,0,12
2024,9,3,2,9/3/2024,AA,1872,ORD,"Chicago, IL",Illinois,EWR,"Newark, NJ",New Jersey,704,659,0,18,717,948,11,1010,959,-11,0,NULL,0,126,120,91,719,0,0,0,0,0,6
2024,12,21,6,12/21/2024,WN,2584,HOU,"Houston, TX",Texas,JAX,"Jacksonville, FL",Florida,2050,2213,83,10,2223,103,5,2350,108,78,0,NULL,0,120,115,100,816,14,0,0,0,64,22
2024,5,9,4,5/9/2024,DL,2868,DTW,"Detroit, MI",Michigan,STL,"St. Louis, MO",Missouri,840,843,3,21,904,921,4,919,925,6,0,NULL,0,99,102,77,440,0,0,0,0,0,8
2024,1,4,4,1/4/2024,AA,751,CLT,"Charlotte, NC",North Carolina,SEA,"Seattle, WA",Washington,1641,1656,15,13,1709,1912,9,1940,1921,-19,0,NULL,0,359,325,303,2279,0,0,0,0,0,16
2024,7,22,1,7/22/2024,MQ,3909,FWA,"Fort Wayne, IN",Indiana,DFW,"Dallas/Fort Worth, TX",Texas,1214,1207,0,12,1219,1319,17,1346,1336,-10,0,NULL,0,152,149,120,859,0,0,0,0,0,12
2024,3,3,7,3/3/2024,AS,700,SEA,"Seattle, WA",Washington,PHX,"Phoenix, AZ",Arizona,1148,1201,13,25,1226,1546,4,1542,1550,8,0,NULL,0,174,169,140,1107,0,0,0,0,0,12
2024,10,15,2,10/15/2024,AA,2878,MIA,"Miami, FL",Florida,DCA,"Washington, DC",Virginia,803,758,0,11,809,1003,3,1037,1006,-31,0,NULL,0,154,128,114,919,0,0,0,0,0,7
2024,11,22,5,11/22/2024,F9,2720,PBI,"West Palm Beach/Palm Beach, FL",Florida,PHL,"Philadelphia, PA",Pennsylvania,1253,1247,0,15,1302,1513,12,1535,1525,-10,0,NULL,0,162,158,131,951,0,0,0,0,0,12
2024,2,26,1,2/26/2024,AA,2093,SFO,"San Francisco, CA",California,DFW,"Dallas/Fort Worth, TX",Texas,1019,1015,0,12,1027,1501,11,1546,1512,-34,0,NULL,0,207,177,154,1464,0,0,0,0,0,10
2024,3,18,1,3/18/2024,B6,1190,SAN,"San Diego, CA",California,JFK,"New York, NY",New York,2115,2128,13,21,2149,559,12,534,611,37,0,NULL,0,319,343,310,2446,13,0,24,0,0,21
2024,11,16,6,11/16/2024,OO,4724,BFL,"Bakersfield, CA",California,SFO,"San Francisco, CA",California,615,607,0,10,617,702,5,730,707,-23,0,NULL,0,75,60,45,238,0,0,0,0,0,6
2024,10,13,7,10/13/2024,UA,2485,LGA,"New York, NY",New York,ORD,"Chicago, IL",Illinois,1634,1630,0,38,1708,1815,28,1810,1843,33,0,NULL,0,156,193,127,733,0,0,33,0,0,16
2024,10,14,1,10/14/2024,WN,894,SMF,"Sacramento, CA",California,LGB,"Long Beach, CA",California,915,914,0,10,924,1026,5,1040,1031,-9,0,NULL,0,85,77,62,387,0,0,0,0,0,9
2024,1,1,1,1/1/2024,DL,2376,SMF,"Sacramento, CA",California,SLC,"Salt Lake City, UT",Utah,1320,1317,0,15,1332,1548,3,1604,1551,-13,0,NULL,0,104,94,76,532,0,0,0,0,0,13
2024,11,21,4,11/21/2024,AS,61,JNU,"Juneau, AK",Alaska,YAK,"Yakutat, AK",Alaska,1008,1003,0,9,1012,1047,3,1110,1050,-20,0,NULL,0,62,47,35,198,0,0,0,0,0,10
2024,5,17,5,5/17/2024,AA,124,RDU,"Raleigh/Durham, NC",North Carolina,DCA,"Washington, DC",Virginia,655,659,4,13,712,752,6,759,758,-1,0,NULL,0,64,59,40,227,0,0,0,0,0,6
2024,4,21,7,4/21/2024,UA,2682,ONT,"Ontario, CA",California,DEN,"Denver, CO",Colorado,1336,1336,0,14,1350,1638,6,1656,1644,-12,0,NULL,0,140,128,108,819,0,0,0,0,0,13
2024,8,31,6,8/31/2024,OO,4052,ATL,"Atlanta, GA",Georgia,DHN,"Dothan, AL",Alabama,1250,1244,0,14,1258,1229,3,1247,1232,-15,0,NULL,0,57,48,31,170,0,0,0,0,0,12
2024,4,22,1,4/22/2024,AA,468,DFW,"Dallas/Fort Worth, TX",Texas,LAS,"Las Vegas, NV",Nevada,1656,1726,30,19,1745,1807,7,1756,1814,18,0,NULL,0,180,168,142,1055,0,0,0,0,18,17
2024,8,28,3,8/28/2024,OO,3790,GEG,"Spokane, WA",Washington,SEA,"Seattle, WA",Washington,715,706,0,27,733,826,8,834,834,0,0,NULL,0,79,88,53,224,0,0,0,0,0,7
2024,9,19,4,9/19/2024,UA,2656,ALB,"Albany, NY",New York,ORD,"Chicago, IL",Illinois,1655,1648,0,34,1722,1803,41,1820,1844,24,0,NULL,0,145,176,101,723,0,0,24,0,0,16
2024,6,26,3,6/26/2024,AA,187,DFW,"Dallas/Fort Worth, TX",Texas,LAX,"Los Angeles, CA",California,1833,1833,0,21,1854,1927,8,1950,1935,-15,0,NULL,0,197,182,153,1235,0,0,0,0,0,18
2024,1,29,1,1/29/2024,UA,466,BNA,"Nashville, TN",Tennessee,ORD,"Chicago, IL",Illinois,1650,1636,0,16,1652,1802,21,1841,1823,-18,0,NULL,0,111,107,70,409,0,0,0,0,0,16
2024,9,22,7,9/22/2024,UA,1375,PHX,"Phoenix, AZ",Arizona,EWR,"Newark, NJ",New Jersey,2359,20,21,17,37,727,11,747,738,-9,0,NULL,0,288,258,230,2133,0,0,0,0,0,0
2024,12,7,6,12/7/2024,F9,4158,SFO,"San Francisco, CA",California,LAS,"Las Vegas, NV",Nevada,1053,1043,0,14,1057,1212,12,1234,1224,-10,0,NULL,0,101,101,75,414,0,0,0,0,0,10
2024,5,30,4,5/30/2024,WN,950,MEM,"Memphis, TN",Tennessee,MDW,"Chicago, IL",Illinois,1655,2010,195,9,2019,2128,2,1830,2130,180,0,NULL,0,95,80,69,480,4,0,0,0,176,20
2024,3,16,6,3/16/2024,WN,4777,FLL,"Fort Lauderdale, FL",Florida,CMH,"Columbus, OH",Ohio,2050,2113,23,12,2125,2343,5,2330,2348,18,0,NULL,0,160,155,138,973,2,0,0,0,16,21
2024,11,20,3,11/20/2024,MQ,3706,ABI,"Abilene, TX",Texas,DFW,"Dallas/Fort Worth, TX",Texas,815,805,0,10,815,849,15,912,904,-8,0,NULL,0,57,59,34,158,0,0,0,0,0,8
2024,3,5,2,3/5/2024,DL,986,SLC,"Salt Lake City, UT",Utah,ATL,"Atlanta, GA",Georgia,1740,1739,0,11,1750,2253,9,2317,2302,-15,0,NULL,0,217,203,183,1590,0,0,0,0,0,17
2024,1,21,7,1/21/2024,F9,4653,TTN,"Trenton, NJ",New Jersey,TPA,"Tampa, FL",Florida,1718,1815,57,21,1836,2046,7,2014,2053,39,0,NULL,0,176,158,130,955,0,0,0,0,39,18
2024,5,20,1,5/20/2024,AA,1569,PHX,"Phoenix, AZ",Arizona,CMH,"Columbus, OH",Ohio,858,902,4,21,923,1527,7,1545,1534,-11,0,NULL,0,227,212,184,1670,0,0,0,0,0,9
2024,8,7,3,8/7/2024,UA,2730,IND,"Indianapolis, IN",Indiana,DEN,"Denver, CO",Colorado,1545,1545,0,18,1603,1614,6,1637,1620,-17,0,NULL,0,172,155,131,977,0,0,0,0,0,15
2024,7,4,4,7/4/2024,F9,1039,PWM,"Portland, ME",Maine,RDU,"Raleigh/Durham, NC",North Carolina,1014,956,0,14,1010,1144,7,1223,1151,-32,0,NULL,0,129,115,94,700,0,0,0,0,0,9
2024,9,14,6,9/14/2024,OO,6193,DFW,"Dallas/Fort Worth, TX",Texas,ACT,"Waco, TX",Texas,905,900,0,22,922,942,4,954,946,-8,0,NULL,0,49,46,20,89,0,0,0,0,0,9
2024,6,16,7,6/16/2024,OO,5307,DEN,"Denver, CO",Colorado,MAF,"Midland/Odessa, TX",Texas,1900,1850,0,33,1923,2148,6,2152,2154,2,0,NULL,0,112,124,85,563,0,0,0,0,0,18
2024,10,3,4,10/3/2024,AA,1339,ORD,"Chicago, IL",Illinois,FCA,"Kalispell, MT",Montana,813,809,0,12,821,1025,3,1051,1028,-23,0,NULL,0,218,199,184,1352,0,0,0,0,0,8
2024,4,30,2,4/30/2024,UA,1269,ORD,"Chicago, IL",Illinois,JAX,"Jacksonville, FL",Florida,1948,1944,0,18,2002,2249,5,2315,2254,-21,0,NULL,0,147,130,107,864,0,0,0,0,0,19
2024,7,27,6,7/27/2024,DL,2247,SLC,"Salt Lake City, UT",Utah,ORD,"Chicago, IL",Illinois,830,837,7,17,854,1230,18,1240,1248,8,0,NULL,0,190,191,156,1250,0,0,0,0,0,8
2024,2,18,7,2/18/2024,DL,1079,SMF,"Sacramento, CA",California,SLC,"Salt Lake City, UT",Utah,530,526,0,13,539,751,4,810,755,-15,0,NULL,0,100,89,72,532,0,0,0,0,0,5
2024,2,5,1,2/5/2024,AA,1,JFK,"New York, NY",New York,LAX,"Los Angeles, CA",California,700,737,37,18,755,1042,18,1025,1100,35,0,NULL,0,385,383,347,2475,35,0,0,0,0,7
2024,7,3,3,7/3/2024,OO,3988,SDF,"Louisville, KY",Kentucky,DTW,"Detroit, MI",Michigan,1027,1019,0,15,1034,1128,8,1145,1136,-9,0,NULL,0,78,77,54,306,0,0,0,0,0,10
2024,8,16,5,8/16/2024,OO,5676,SFO,"San Francisco, CA",California,GEG,"Spokane, WA",Washington,1340,1332,0,19,1351,1526,5,1552,1531,-21,0,NULL,0,132,119,95,733,0,0,0,0,0,13
2024,5,27,1,5/27/2024,AA,2045,SFO,"San Francisco, CA",California,MIA,"Miami, FL",Florida,1307,1302,0,25,1327,2124,15,2150,2139,-11,0,NULL,0,343,337,297,2585,0,0,0,0,0,13
2024,7,13,6,7/13/2024,MQ,3669,JAN,"Jackson/Vicksburg, MS",Mississippi,DFW,"Dallas/Fort Worth, TX",Texas,854,850,0,10,900,1007,16,1035,1023,-12,0,NULL,0,101,93,67,408,0,0,0,0,0,8
2024,10,21,1,10/21/2024,UA,1923,DEN,"Denver, CO",Colorado,BZN,"Bozeman, MT",Montana,1340,1332,0,15,1347,1505,4,1523,1509,-14,0,NULL,0,103,97,78,524,0,0,0,0,0,13
2024,5,23,4,5/23/2024,UA,2221,SAN,"San Diego, CA",California,IAD,"Washington, DC",Virginia,825,819,0,22,841,1602,11,1615,1613,-2,0,NULL,0,290,294,261,2253,0,0,0,0,0,8
2024,12,29,7,12/29/2024,OH,5075,CLT,"Charlotte, NC",North Carolina,DAY,"Dayton, OH",Ohio,1822,1918,56,24,1942,2040,6,2004,2046,42,0,NULL,0,102,88,58,370,0,11,0,0,31,19
2024,1,2,2,1/2/2024,UA,456,DEN,"Denver, CO",Colorado,MIA,"Miami, FL",Florida,1355,1352,0,16,1408,1928,21,1951,1949,-2,0,NULL,0,236,237,200,1709,0,0,0,0,0,13
2024,12,9,1,12/9/2024,B6,301,BUF,"Buffalo, NY",New York,JFK,"New York, NY",New York,1942,1955,13,16,2011,2106,4,2111,2110,-1,0,NULL,0,89,75,55,301,0,0,0,0,0,19
2024,10,29,2,10/29/2024,UA,1891,IAD,"Washington, DC",Virginia,EWR,"Newark, NJ",New Jersey,600,605,5,16,621,707,11,714,718,4,0,NULL,0,74,73,46,212,0,0,0,0,0,6
2024,9,16,1,9/16/2024,9E,5097,JFK,"New York, NY",New York,RDU,"Raleigh/Durham, NC",North Carolina,750,834,44,20,854,1004,7,939,1011,32,0,NULL,0,109,97,70,427,32,0,0,0,0,8
2024,1,25,4,1/25/2024,NK,3066,ATL,"Atlanta, GA",Georgia,MCO,"Orlando, FL",Florida,640,640,0,9,649,753,8,814,801,-13,0,NULL,0,94,81,64,404,0,0,0,0,0,6
2024,9,2,1,9/2/2024,WN,3840,PHX,"Phoenix, AZ",Arizona,BNA,"Nashville, TN",Tennessee,1720,1748,28,12,1800,2247,5,2240,2252,12,0,NULL,0,200,184,167,1449,0,0,0,0,0,17
2024,10,6,7,10/6/2024,NK,1857,MCI,"Kansas City, MO",Missouri,MCO,"Orlando, FL",Florida,1949,1945,0,10,1955,2312,7,2337,2319,-18,0,NULL,0,168,154,137,1072,0,0,0,0,0,19
2024,1,9,2,1/9/2024,NK,968,ATL,"Atlanta, GA",Georgia,DTW,"Detroit, MI",Michigan,1004,1044,40,11,1055,1209,9,1158,1218,20,0,NULL,0,114,94,74,594,0,20,0,0,0,10
2024,4,24,3,4/24/2024,NK,2518,LAS,"Las Vegas, NV",Nevada,SJC,"San Jose, CA",California,713,708,0,22,730,830,3,842,833,-9,0,NULL,0,89,85,60,386,0,0,0,0,0,7
2024,10,17,4,10/17/2024,OO,3756,SLC,"Salt Lake City, UT",Utah,RDM,"Bend/Redmond, OR",Oregon,2259,2259,0,17,2316,2335,3,2344,2338,-6,0,NULL,0,105,99,79,525,0,0,0,0,0,22
2024,10,24,4,10/24/2024,HA,145,OGG,"Kahului, HI",Hawaii,HNL,"Honolulu, HI",Hawaii,800,755,0,9,804,827,6,840,833,-7,0,NULL,0,40,38,23,100,0,0,0,0,0,7
2024,7,16,2,7/16/2024,AA,1422,DFW,"Dallas/Fort Worth, TX",Texas,CHS,"Charleston, SC",South Carolina,2043,2212,89,18,2230,139,4,15,143,88,0,NULL,0,152,151,129,987,0,0,0,0,88,22
2024,8,1,4,8/1/2024,OH,5143,MDT,"Harrisburg, PA",Pennsylvania,CLT,"Charlotte, NC",North Carolina,2012,2001,0,16,2017,2125,7,2150,2132,-18,0,NULL,0,98,91,68,413,0,0,0,0,0,20
2024,1,9,2,1/9/2024,AA,461,MCO,"Orlando, FL",Florida,CLT,"Charlotte, NC",North Carolina,612,642,30,13,655,820,5,804,825,21,0,NULL,0,112,103,85,468,21,0,0,0,0,6
2024,5,28,2,5/28/2024,AS,1295,PDX,"Portland, OR",Oregon,SFO,"San Francisco, CA",California,1950,2019,29,16,2035,2205,4,2135,2209,34,0,NULL,0,105,110,90,550,0,0,34,0,0,20
2024,12,31,2,12/31/2024,DL,661,SNA,"Santa Ana, CA",California,ATL,"Atlanta, GA",Georgia,1250,1246,0,9,1255,1914,4,1958,1918,-40,0,NULL,0,248,212,199,1919,0,0,0,0,0,12
2024,7,30,2,7/30/2024,UA,1015,DRO,"Durango, CO",Colorado,DEN,"Denver, CO",Colorado,700,653,0,13,706,756,9,824,805,-19,0,NULL,0,84,72,50,251,0,0,0,0,0,6
2024,12,26,4,12/26/2024,AA,668,MCO,"Orlando, FL",Florida,DFW,"Dallas/Fort Worth, TX",Texas,646,641,0,20,701,832,15,854,847,-7,0,NULL,0,188,186,151,985,0,0,0,0,0,6
2024,4,28,7,4/28/2024,YX,3618,ORD,"Chicago, IL",Illinois,STL,"St. Louis, MO",Missouri,1257,1249,0,28,1317,1419,6,1423,1425,2,0,NULL,0,86,96,62,258,0,0,0,0,0,12
2024,11,22,5,11/22/2024,YX,3492,SYR,"Syracuse, NY",New York,EWR,"Newark, NJ",New Jersey,1230,1213,0,64,1317,1400,5,1401,1405,4,0,NULL,0,91,112,43,195,0,0,0,0,0,12
2024,5,7,2,5/7/2024,DL,1454,STL,"St. Louis, MO",Missouri,MSP,"Minneapolis, MN",Minnesota,1737,1729,0,13,1742,1849,5,1915,1854,-21,0,NULL,0,98,85,67,448,0,0,0,0,0,17
2024,10,31,4,10/31/2024,WN,269,BUR,"Burbank, CA",California,LAS,"Las Vegas, NV",Nevada,1410,1406,0,23,1429,1512,6,1525,1518,-7,0,NULL,0,75,72,43,223,0,0,0,0,0,14
2024,3,28,4,3/28/2024,9E,5225,ATL,"Atlanta, GA",Georgia,AGS,"Augusta, GA",Georgia,1110,1104,0,31,1135,1209,3,1210,1212,2,0,NULL,0,60,68,34,143,0,0,0,0,0,11
2024,1,1,1,1/1/2024,WN,193,FLL,"Fort Lauderdale, FL",Florida,BWI,"Baltimore, MD",Maryland,540,538,0,11,549,749,4,810,753,-17,0,NULL,0,150,135,120,925,0,0,0,0,0,5
2024,6,3,1,6/3/2024,OH,5394,DAY,"Dayton, OH",Ohio,CLT,"Charlotte, NC",North Carolina,840,828,0,16,844,944,16,1025,1000,-25,0,NULL,0,105,92,60,370,0,0,0,0,0,8
2024,4,30,2,4/30/2024,AA,2661,ONT,"Ontario, CA",California,PHX,"Phoenix, AZ",Arizona,1555,1546,0,21,1607,1702,15,1709,1717,8,0,NULL,0,74,91,55,325,0,0,0,0,0,15
2024,10,16,3,10/16/2024,OH,5529,CLT,"Charlotte, NC",North Carolina,JAN,"Jackson/Vicksburg, MS",Mississippi,1716,1708,0,29,1737,1757,8,1821,1805,-16,0,NULL,0,125,117,80,562,0,0,0,0,0,17
2024,12,1,7,12/1/2024,OO,5741,BNA,"Nashville, TN",Tennessee,ORD,"Chicago, IL",Illinois,800,755,0,12,807,926,23,953,949,-4,0,NULL,0,113,114,79,409,0,0,0,0,0,7
2024,4,1,1,4/1/2024,OO,5319,GEG,"Spokane, WA",Washington,SFO,"San Francisco, CA",California,528,520,0,11,531,706,6,759,712,-47,0,NULL,0,151,112,95,733,0,0,0,0,0,5
2024,11,8,5,11/8/2024,WN,4237,LAS,"Las Vegas, NV",Nevada,SEA,"Seattle, WA",Washington,935,937,2,17,954,1205,11,1225,1216,-9,0,NULL,0,170,159,131,867,0,0,0,0,0,9
2024,8,26,1,8/26/2024,AA,397,JFK,"New York, NY",New York,CLT,"Charlotte, NC",North Carolina,1435,1453,18,36,1529,1648,30,1640,1718,38,0,NULL,0,125,145,79,541,18,0,20,0,0,14
2024,12,23,1,12/23/2024,9E,5345,DAY,"Dayton, OH",Ohio,ATL,"Atlanta, GA",Georgia,1937,2038,61,15,2053,2206,7,2134,2213,39,0,NULL,0,117,95,73,432,0,0,0,0,39,20
2024,12,18,3,12/18/2024,UA,1793,ORD,"Chicago, IL",Illinois,OMA,"Omaha, NE",Nebraska,845,843,0,16,859,1005,3,1023,1008,-15,0,NULL,0,98,85,66,416,0,0,0,0,0,8
2024,4,25,4,4/25/2024,YX,5660,LGA,"New York, NY",New York,PWM,"Portland, ME",Maine,955,1007,12,26,1033,1123,4,1129,1127,-2,0,NULL,0,94,80,50,269,0,0,0,0,0,10
2024,3,25,1,3/25/2024,AA,818,ORD,"Chicago, IL",Illinois,MIA,"Miami, FL",Florida,1540,1612,32,15,1627,2008,8,1949,2016,27,0,NULL,0,189,184,161,1197,3,0,0,0,24,16
2024,4,6,6,4/6/2024,WN,2158,ONT,"Ontario, CA",California,SJC,"San Jose, CA",California,1235,1232,0,9,1241,1337,4,1350,1341,-9,0,NULL,0,75,69,56,333,0,0,0,0,0,12
2024,10,3,4,10/3/2024,UA,1966,AUS,"Austin, TX",Texas,IAH,"Houston, TX",Texas,515,505,0,12,517,545,5,611,550,-21,0,NULL,0,56,45,28,140,0,0,0,0,0,5
2024,7,2,2,7/2/2024,OO,6289,PHX,"Phoenix, AZ",Arizona,PSP,"Palm Springs, CA",California,1020,1015,0,29,1044,1128,6,1135,1134,-1,0,NULL,0,75,79,44,261,0,0,0,0,0,10
2024,1,6,6,1/6/2024,OH,5170,DCA,"Washington, DC",Virginia,AVL,"Asheville, NC",North Carolina,1447,1441,0,29,1510,1621,3,1620,1624,4,0,NULL,0,93,103,71,384,0,0,0,0,0,14
2024,7,27,6,7/27/2024,OO,3738,IAD,"Washington, DC",Virginia,DTW,"Detroit, MI",Michigan,610,946,216,8,954,1054,6,740,1100,200,0,NULL,0,90,74,60,383,200,0,0,0,0,9
2024,9,20,5,9/20/2024,AA,2131,JFK,"New York, NY",New York,MIA,"Miami, FL",Florida,706,659,0,25,724,948,7,1022,955,-27,0,NULL,0,196,176,144,1089,0,0,0,0,0,6
2024,6,8,6,6/8/2024,DL,2147,ATL,"Atlanta, GA",Georgia,PVD,"Providence, RI",Rhode Island,929,941,12,14,955,1153,5,1153,1158,5,0,NULL,0,144,137,118,903,0,0,0,0,0,9
2024,4,8,1,4/8/2024,WN,1826,STL,"St. Louis, MO",Missouri,FLL,"Fort Lauderdale, FL",Florida,2000,2001,1,14,2015,2330,7,2335,2337,2,0,NULL,0,155,156,135,1057,0,0,0,0,0,20
2024,9,20,5,9/20/2024,OO,5961,SFO,"San Francisco, CA",California,ONT,"Ontario, CA",California,1151,1312,81,18,1330,1429,3,1321,1432,71,0,NULL,0,90,80,59,363,0,0,0,0,71,13
